epoch,categorical_accuracy,loss,val_categorical_accuracy,val_loss
0,0.7493333,0.7502847171326479,0.81083333,0.5815051768471797
1,0.75983334,0.7301145309011141,0.80583334,0.5837523213525613
2,0.76166666,0.7245405059655508,0.8075,0.5794677418967088
3,0.76025,0.7252357050577799,0.80916667,0.578123880798618
4,0.75775,0.7271736492911974,0.8075,0.5780042671660582
5,0.76125,0.6979779319961866,0.80916667,0.5740181378523509
6,0.76375,0.7187988130648931,0.81083333,0.571032888442278
7,0.76958334,0.6824629628062249,0.8125,0.5703696610530218
8,0.76341665,0.6929795180559158,0.81416667,0.5691100235035023
9,0.77091664,0.6819191095530986,0.8125,0.5659284898638726
10,0.76925,0.6828903842369716,0.81333333,0.566262744491299
11,0.7748333,0.6753359380960464,0.81166667,0.5612660193940003
0,0.7499167,0.7455868885914485,0.80833334,0.5802916521330674
1,0.75525,0.734303015589714,0.80583334,0.5800299809376399
2,0.76233333,0.7185990544160207,0.81083333,0.5769700365513564
3,0.7604167,0.7156850846707821,0.80916667,0.5732772350807984
4,0.76875,0.6980543569525083,0.8066667,0.5692132594933113
5,0.771,0.69072390589118,0.81416667,0.5673548150559267
